LAMBX,LAMBY,order,seasonal_order,rmse,mae,bias,aic,bic,train_n,test_n,exog_vars
5640,18890,"(0, 0, 0)","(0, 1, 1, 12)",1.41656782232617,1.0315831321813256,-0.24130148372022678,1488.3199534815697,1516.381645779668,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
4120,18570,"(0, 0, 0)","(0, 1, 1, 12)",1.356964085542901,1.0068132499590539,-0.5579118395998329,1434.4093609130794,1462.4710532111776,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
5160,24090,"(0, 0, 0)","(0, 1, 1, 12)",1.508654207146998,1.1432637223280901,0.06120798062916028,1503.2449591388363,1531.3066514369345,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
7000,24250,"(0, 0, 0)","(0, 1, 1, 12)",1.311326818323664,1.047679892584804,0.1111459300753833,1534.920726285792,1562.9824185838902,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
2840,23770,"(0, 0, 0)","(0, 1, 1, 12)",1.3398124663187638,1.0987357942203275,-0.5371538240235342,1392.6146532989176,1420.6763455970158,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
6200,23770,"(0, 0, 0)","(0, 1, 1, 12)",1.3603342995877898,1.0096698244279065,0.20843040440424723,1508.514366241477,1536.5760585395753,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
6040,18090,"(0, 0, 0)","(0, 1, 1, 12)",1.1301436204849924,0.9354489301043056,-0.5022729762535559,1416.8430799372709,1444.9047722353691,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
7800,24250,"(0, 0, 0)","(0, 1, 1, 12)",1.336834499561774,1.020415419079432,-0.034022186009778514,1531.2311186866223,1559.2928109847205,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
5400,21690,"(0, 0, 0)","(0, 1, 1, 12)",1.1907395798581732,0.8535073999855705,0.04500277222483597,1514.4412751550585,1542.5029674531568,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
6840,24170,"(0, 0, 0)","(0, 1, 1, 12)",1.2928165530824849,1.0350896270024474,0.08577111013446574,1532.248553612487,1560.3102459105853,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
8920,18090,"(0, 0, 0)","(0, 1, 1, 12)",1.1847917394494714,0.8974677549796478,0.07549543192970115,1308.3590791083457,1336.420771406444,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
9880,19050,"(0, 0, 0)","(0, 1, 1, 12)",1.321075767469019,1.0250448017676768,0.5377130208934474,1382.6864175186397,1410.748109816738,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
3080,22730,"(0, 0, 0)","(0, 1, 1, 12)",1.2265837745417376,0.9778556735009684,-0.42864114089935984,1435.7886865801363,1463.8503788782346,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
1000,23850,"(0, 0, 0)","(0, 1, 1, 12)",1.1715967624106405,0.99346323581534,-0.5674455537291264,1260.1531645578052,1288.2148568559035,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
8520,21130,"(0, 0, 0)","(0, 1, 1, 12)",1.3807809367315893,1.1224904238617976,0.30118306259067756,1567.8739615685408,1595.935653866639,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
8920,20490,"(0, 0, 0)","(0, 1, 1, 12)",1.40542227743591,1.1038765377439392,0.25183903499055504,1487.560881287731,1515.6225735858293,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
7160,23770,"(0, 0, 0)","(0, 1, 1, 12)",1.3170644197801153,1.0399822218771704,-0.232809767108456,1518.2689810752727,1546.330673373371,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
