MONTH,T,PRELIQ,PRENEI,FF,HU,SSI
1977-09-01,14.19,36.400000000000006,0.0,3.7,88.23333333333333,1127.6933333333334
1977-10-01,13.612903225806452,47.5,0.0,4.041935483870968,89.13548387096773,681.9161290322581
1977-11-01,8.826666666666666,114.7,0.5,5.88,86.65,391.60999999999996
1977-12-01,8.764516129032257,94.0,0.0,4.95483870967742,90.53225806451613,273.6741935483871
1978-01-01,6.193548387096774,149.1,0.0,5.548387096774194,87.99354838709678,288.6354838709678
1978-02-01,6.714285714285714,103.1,8.3,5.610714285714286,91.175,341.0285714285714
1978-03-01,8.274193548387096,139.6,0.0,5.535483870967742,87.70967741935483,692.6
1978-04-01,7.633333333333334,40.4,2.0,4.926666666666667,83.2,1004.27
1978-05-01,11.87741935483871,27.4,0.0,3.5999999999999996,86.69032258064516,1592.9548387096775
1978-06-01,13.376666666666667,50.3,0.0,3.9766666666666666,88.71333333333334,1588.2366666666667
1978-07-01,15.396774193548387,62.7,0.0,3.8451612903225807,89.31935483870969,1411.5516129032258
1978-08-01,15.35483870967742,18.8,0.0,3.4451612903225803,88.76451612903226,1577.3225806451612
1978-09-01,14.81,28.4,0.0,3.5533333333333332,88.14,1220.6833333333334
1978-10-01,13.329032258064515,8.6,0.0,3.2516129032258063,88.9483870967742,675.1322580645162
1978-11-01,10.75,26.5,0.0,3.6300000000000003,87.47,409.69666666666666
1978-12-01,8.093548387096774,178.5,0.4,6.248387096774193,89.69354838709677,212.28064516129032
1979-01-01,3.7129032258064516,94.4,2.1,4.309677419354839,82.8967741935484,303.2096774193548
1979-02-01,6.4678571428571425,124.9,0.8,4.639285714285714,91.91071428571429,410.35714285714283
1979-03-01,7.316129032258065,115.0,0.0,6.009677419354839,87.46451612903226,698.1193548387097
1979-04-01,9.056666666666667,63.1,0.0,4.933333333333334,86.07666666666667,983.7766666666666
1979-05-01,10.561290322580644,92.6,0.0,3.8806451612903223,85.58064516129032,1474.8451612903225
1979-06-01,14.58,13.6,0.0,3.31,89.0,1528.8600000000001
1979-07-01,17.135483870967743,18.7,0.0,3.1580645161290324,84.32903225806452,1678.774193548387
1979-08-01,15.96774193548387,58.1,0.0,4.300000000000001,88.48709677419355,1347.967741935484
1979-09-01,14.896666666666667,45.1,0.0,3.1633333333333336,88.64,1040.7866666666666
1979-10-01,13.26774193548387,54.0,0.0,3.1129032258064515,90.91612903225807,679.258064516129
1979-11-01,9.833333333333334,114.1,0.0,4.046666666666667,88.8,372.36333333333334
1979-12-01,8.95483870967742,173.1,3.8,6.158064516129032,90.31612903225808,233.26451612903224
1980-01-01,5.790322580645161,95.8,0.0,4.145161290322581,89.29032258064517,275.89032258064515
1980-02-01,8.720689655172414,96.9,0.0,4.26551724137931,88.8103448275862,503.79655172413794
1980-03-01,7.280645161290322,113.3,0.0,5.229032258064516,86.65483870967742,643.2
1980-04-01,9.763333333333332,5.0,0.0,4.076666666666666,82.21666666666667,1357.1966666666667
1980-05-01,11.46774193548387,35.800000000000004,0.0,3.7096774193548385,84.30322580645162,1646.4806451612903
1980-06-01,14.263333333333332,97.7,0.0,4.46,89.78,1355.3266666666668
1980-07-01,15.40967741935484,40.0,0.0,4.409677419354838,88.95806451612903,1432.9774193548387
1980-08-01,17.067741935483873,32.6,0.0,3.6096774193548384,89.81935483870969,1270.1290322580646
1980-09-01,15.610000000000001,35.4,0.0,3.4033333333333333,90.45333333333333,918.74
1980-10-01,11.683870967741935,128.8,0.0,4.716129032258064,88.6,563.7741935483871
1980-11-01,8.576666666666666,89.39999999999999,15.0,5.0,84.74,325.68
1980-12-01,7.906451612903226,87.1,0.0,4.883870967741935,86.99354838709678,268.7064516129032
1981-01-01,7.938709677419355,81.4,0.0,4.903225806451613,85.97741935483872,360.8322580645161
1981-02-01,5.628571428571428,61.099999999999994,0.0,3.8249999999999997,81.56428571428572,695.9
1981-03-01,9.964516129032257,128.7,0.0,6.338709677419355,89.36451612903227,489.19354838709677
1981-04-01,9.623333333333333,39.1,0.0,4.173333333333334,85.72,1131.4433333333334
1981-05-01,11.96774193548387,122.9,0.0,5.235483870967743,90.23548387096774,1013.0774193548388
1981-06-01,14.18,13.7,0.0,4.193333333333333,87.99,1605.45
1981-07-01,16.467741935483872,31.5,0.0,3.5774193548387094,88.92903225806452,1337.4161290322581
1981-08-01,17.34193548387097,28.7,0.0,2.5935483870967744,87.0741935483871,1616.6225806451614
1981-09-01,15.983333333333333,114.9,0.0,3.1333333333333333,88.55333333333333,1088.3166666666666
1981-10-01,11.519354838709678,146.9,0.0,4.1,88.88064516129033,434.4032258064516
1981-11-01,10.206666666666667,38.3,0.0,3.51,87.99333333333334,345.94
1981-12-01,7.374193548387097,160.3,0.0,5.109677419354839,90.38387096774194,219.52903225806452
1982-01-01,8.287096774193548,139.1,0.0,4.590322580645162,91.49677419354839,225.8516129032258
1982-02-01,8.164285714285715,67.3,0.0,3.792857142857143,88.61071428571428,462.2642857142857
1982-03-01,7.945161290322581,90.8,0.0,5.564516129032258,83.24193548387096,934.4483870967742
1982-04-01,9.533333333333333,38.7,0.0,4.47,82.83666666666666,1636.77
1982-05-01,12.251612903225807,43.2,0.0,3.706451612903226,83.95806451612903,1337.3645161290324
1982-06-01,15.55,89.8,0.0,3.14,89.95,1542.89
1982-07-01,17.293548387096774,61.4,0.0,3.6451612903225805,89.22258064516129,1689.664516129032
1982-08-01,16.61935483870968,46.7,0.0,3.896774193548387,87.88709677419355,1307.9903225806452
1982-09-01,16.306666666666665,63.0,0.0,3.1533333333333338,89.29666666666667,1119.1466666666668
1982-10-01,12.32258064516129,183.2,0.0,4.074193548387097,91.03870967741935,555.3709677419355
1982-11-01,10.706666666666667,165.1,0.0,4.206666666666667,86.78333333333333,332.28333333333336
1982-12-01,8.861290322580645,182.6,0.0,4.435483870967742,88.58064516129032,211.03870967741935
1983-01-01,9.629032258064516,71.8,0.0,5.196774193548387,89.3967741935484,276.5903225806452
1983-02-01,5.757142857142857,71.1,2.2,5.096428571428571,81.85714285714286,555.4357142857143
1983-03-01,9.27741935483871,70.4,0.0,4.209677419354839,86.34516129032258,747.9225806451612
1983-04-01,9.01,119.3,0.0,4.163333333333333,83.96666666666667,1033.6733333333334
1983-05-01,12.09032258064516,112.3,0.0,4.1,85.85161290322581,1345.4
1983-06-01,15.8,15.3,0.0,3.1133333333333337,80.11666666666666,1886.0033333333333
1983-07-01,19.41290322580645,18.7,0.0,2.4741935483870967,79.61935483870967,2143.051612903226
1983-08-01,17.42258064516129,44.4,0.0,2.9645161290322584,82.9258064516129,1739.5096774193548
1983-09-01,15.65,77.0,0.0,3.7066666666666666,85.18333333333334,969.48
1983-10-01,12.070967741935483,65.30000000000001,0.0,3.706451612903226,82.60967741935484,633.4612903225806
1983-11-01,10.796666666666665,46.8,0.0,4.01,85.78666666666666,449.63
1983-12-01,8.161290322580646,82.4,0.0,4.858064516129032,78.04516129032258,322.083870967742
1984-01-01,7.016129032258065,178.4,0.0,6.661290322580645,84.28709677419356,264.1258064516129
1984-02-01,6.13448275862069,94.9,0.0,5.403448275862068,79.95172413793104,516.1793103448276
1984-03-01,6.319354838709677,95.8,0.0,4.754838709677419,79.91290322580646,887.6580645161291
1984-04-01,10.26,2.2,0.0,3.2366666666666664,71.92,1883.5
1984-05-01,10.151612903225805,92.8,0.0,4.919354838709677,79.68709677419355,1383.3709677419354
1984-06-01,14.013333333333334,10.1,0.0,3.513333333333333,85.03,1981.2433333333333
1984-07-01,16.961290322580645,22.8,0.0,3.8548387096774195,78.41935483870968,2044.6387096774195
1984-08-01,16.948387096774194,62.3,0.0,3.2193548387096773,80.82903225806452,1632.1193548387096
1984-09-01,14.69,64.8,0.0,6.196666666666667,84.75666666666666,1093.3466666666668
1984-10-01,12.951612903225806,76.1,0.0,5.680645161290323,88.46774193548387,642.5096774193548
1984-11-01,10.38,154.1,0.0,5.3566666666666665,89.19,331.64666666666665
1984-12-01,8.364516129032259,133.7,0.0,4.635483870967741,87.71290322580644,273.2258064516129
