LAMBX,LAMBY,model,order,seasonal_order,train_n,test_n,rmse,mae,bias,aic,bic,model_file,elapsed_seconds
3480,22970,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.3321417367867052,1.0426510051824083,-0.20034088819469686,1549.6745158915282,1569.693951227061,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_22970.pkl,0.473
3480,22890,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.3268659331828454,1.040459008412806,-0.2025768657200749,1548.8955852396055,1568.9150205751382,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_22890.pkl,0.554
3480,23370,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.39329274848942,1.141455160677024,-0.4728478000405411,1495.833632724344,1515.8530680598767,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_23370.pkl,0.425
3480,23210,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.378261292730135,1.1161677856250114,-0.4087975919363053,1535.673179920584,1555.6926152561168,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_23210.pkl,0.509
3480,23610,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.4299770838858976,1.1670711433902428,-0.51666947189318,1511.2821594019974,1531.3015947375302,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_23610.pkl,0.352
3480,23290,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.378261292730135,1.1161677856250114,-0.4087975919363053,1535.673179920584,1555.6926152561168,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_23290.pkl,0.525
3480,23130,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.3804204151524684,1.1161028579349463,-0.40580791367848984,1536.2233350259812,1556.242770361514,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_23130.pkl,0.609
3480,23690,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.4330759711601353,1.1698617805020433,-0.5191650008606435,1511.9824197341727,1532.0018550697055,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_23690.pkl,0.387
3480,24170,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.3855198742128996,1.0901132924121857,-0.2658394036707869,1442.5400482789296,1462.5594836144624,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_24170.pkl,0.307
3480,23770,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.426655695808855,1.1571445422105076,-0.4551571729417289,1504.3996761201602,1524.419111455693,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_23770.pkl,0.389
3480,23930,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.417592803481941,1.153619667002017,-0.460698229819978,1501.8093990104228,1521.8288343459556,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_23930.pkl,0.384
3480,24090,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.3847620866795325,1.0908037987216497,-0.26516306864767963,1442.1934609682057,1462.2128963037385,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_24090.pkl,0.342
3480,24330,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.3830219117891849,1.1230196779305577,-0.4848591487962432,1397.802427225438,1417.8218625609707,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_24330.pkl,0.275
3480,24010,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.380386732841859,1.089840520389987,-0.255441803088267,1439.7596740704637,1459.7791094059965,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_24010.pkl,0.416
3480,24410,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.3719232982906526,1.112234262154754,-0.4725412770365865,1394.7961488481478,1414.8155841836806,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_24410.pkl,0.288
3480,23850,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.4477401450399443,1.1777374626919848,-0.5150932568093535,1517.1975671691762,1537.217002504709,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_23850.pkl,0.478
