LAMBX,LAMBY,order,seasonal_order,ar.L1,ma.L1,ma.L2,ma.S.L12,sigma2,source_model
8440,20170,"(1, 0, 2)","(0, 1, 1, 12)",0.9264226903985888,-0.8056599974611807,-0.06869421071373348,-1.0860899514648577,2.4084547723454865,sarima_lambx_8440_lamby_20170.pkl
8440,20250,"(1, 0, 2)","(0, 1, 1, 12)",0.4700103487050075,-0.3538659502839454,-0.02533106949720057,-1.1189929860561487,2.2165835560540788,sarima_lambx_8440_lamby_20250.pkl
8440,20330,"(1, 0, 2)","(0, 1, 1, 12)",0.47035642378158365,-0.34717884158627155,-0.028272852619542113,-1.128879518389425,2.1611133377569485,sarima_lambx_8440_lamby_20330.pkl
8440,20410,"(1, 0, 2)","(0, 1, 1, 12)",1.0041044968777606,-0.9074050350665258,-0.09258893779079516,-1.068317642265894,2.5212352294890183,sarima_lambx_8440_lamby_20410.pkl
8440,20490,"(1, 0, 2)","(0, 1, 1, 12)",1.003955064618545,-0.9094474397629005,-0.09055763814245171,-1.0687087850462442,2.533412981136668,sarima_lambx_8440_lamby_20490.pkl
8440,20570,"(1, 0, 2)","(0, 1, 1, 12)",1.00382149790228,-0.9111499623791939,-0.08885931455103899,-1.0693764298248423,2.547949465870089,sarima_lambx_8440_lamby_20570.pkl
8440,20650,"(1, 0, 2)","(0, 1, 1, 12)",0.9569438650210405,-0.8361122255392353,-0.07536281757100244,-1.1041491262556835,2.419095903722149,sarima_lambx_8440_lamby_20650.pkl
8440,20730,"(1, 0, 2)","(0, 1, 1, 12)",0.9452059855836723,-0.8196609005589696,-0.07694035827410528,-1.106424463869106,2.3824545138023683,sarima_lambx_8440_lamby_20730.pkl
8440,20810,"(1, 0, 2)","(0, 1, 1, 12)",0.9157420257402558,-0.7864086301159773,-0.07937902639326239,-1.1047107191636896,2.310331667997238,sarima_lambx_8440_lamby_20810.pkl
8440,20890,"(1, 0, 2)","(0, 1, 1, 12)",0.899227502480908,-0.792847963247133,-0.07732028498728273,-1.0826051163995498,2.6493538175558875,sarima_lambx_8440_lamby_20890.pkl
8440,20970,"(1, 0, 2)","(0, 1, 1, 12)",0.8839201165227974,-0.7889028983823946,-0.07114261896397071,-1.089829156092986,2.7174924191657186,sarima_lambx_8440_lamby_20970.pkl
8440,21050,"(1, 0, 2)","(0, 1, 1, 12)",0.9360089752107185,-0.8402260700782439,-0.06753545263659556,-1.0878317036587657,2.7956672866935044,sarima_lambx_8440_lamby_21050.pkl
8440,21130,"(1, 0, 2)","(0, 1, 1, 12)",0.6404304133362752,-0.5644688670459888,-0.06059288519146598,-1.0595135971047187,2.8076584449973616,sarima_lambx_8440_lamby_21130.pkl
8440,21210,"(1, 0, 2)","(0, 1, 1, 12)",0.6421846252462915,-0.5654353508817388,-0.06056522445242392,-1.0606938505176904,2.8041936560898253,sarima_lambx_8440_lamby_21210.pkl
8440,21290,"(1, 0, 2)","(0, 1, 1, 12)",0.6833526163280892,-0.6098299553764842,-0.05968020314355902,-1.0790132985077532,3.0320634198622742,sarima_lambx_8440_lamby_21290.pkl
8440,21370,"(1, 0, 2)","(0, 1, 1, 12)",0.71014320301914,-0.634167846797196,-0.06112326121017371,-1.0762030306481973,3.0311360602043904,sarima_lambx_8440_lamby_21370.pkl
8440,21450,"(1, 0, 2)","(0, 1, 1, 12)",0.742754153850693,-0.6652644145305553,-0.06236788831477579,-1.0741961189401716,3.031513612061879,sarima_lambx_8440_lamby_21450.pkl
8440,21530,"(1, 0, 2)","(0, 1, 1, 12)",0.7085533809956321,-0.6425097031513453,-0.05917925368998893,-1.0589979365429996,2.852718381805947,sarima_lambx_8440_lamby_21530.pkl
8440,21690,"(1, 0, 2)","(0, 1, 1, 12)",0.7159546977048392,-0.6496052467946126,-0.05960666802467269,-1.0587867139730516,2.8499303793455337,sarima_lambx_8440_lamby_21690.pkl
8440,21610,"(1, 0, 2)","(0, 1, 1, 12)",0.7220825170745317,-0.6540634351876051,-0.060310209167019145,-1.0579130108714137,2.8437415536848927,sarima_lambx_8440_lamby_21610.pkl
8440,21770,"(1, 0, 2)","(0, 1, 1, 12)",0.7059028972611191,-0.6405877328335944,-0.05946313667012568,-1.0599192993481057,2.8591580478780663,sarima_lambx_8440_lamby_21770.pkl
