LAMBX,LAMBY,n_observations,MAE,RMSE,R2,Bias,T_observed_mean,T_predicted_mean,mean_absolute_error,temperature_mean_difference
9800,21050,312,1.7715421555613058,2.2139131510644288,0.856452306537715,-0.06995614585332356,3.5836538461538465,3.6536099920071696,1.7715421555613058,-0.0699561458533231
9800,21130,312,1.7380985487443512,2.202968701408639,0.8413883109941349,-0.055189491626925984,0.6423076923076922,0.6974971839346182,1.7380985487443512,-0.05518949162692599
9800,21210,312,1.7122015417386325,2.14937165418252,0.8485838092710923,-0.006686590650142719,0.33269230769230773,0.33937889834245044,1.7122015417386325,-0.00668659065014271
9800,21290,312,1.730081645894545,2.129644896243847,0.8765112914467998,-0.08358288794809667,4.756089743589744,4.83967263153784,1.730081645894545,-0.08358288794809621
9800,21370,312,1.803718421827906,2.2460212818583805,0.8545724324540589,-0.09655259800836063,3.884935897435898,3.981488495444258,1.803718421827906,-0.09655259800836014
9800,21450,312,1.5777996483855905,1.9533332611395098,0.9147011735243422,0.023786882277673633,8.575000000000001,8.551213117722327,1.5777996483855905,0.023786882277674337
9800,21530,312,1.6972317137946493,2.104547323956047,0.8846611027454465,-0.08433782512990715,5.565384615384616,5.649722440514522,1.6972317137946493,-0.08433782512990629
9800,21610,312,1.790848539300406,2.2414179166233077,0.838770023416984,-0.05228534944427128,2.3541666666666665,2.4064520161109377,1.790848539300406,-0.05228534944427121
9800,21690,312,1.825776534790221,2.247713341243149,0.8638378639666529,-0.07756626414469417,5.841025641025642,5.918591905170335,1.825776534790221,-0.0775662641446937
9800,21770,312,1.7798004079654886,2.2020874714790493,0.8752318955384923,-0.06196704405174854,6.43525641025641,6.497223454308159,1.7798004079654886,-0.06196704405174902
9800,21850,312,1.8666275212780021,2.3040677320118355,0.8583269294269062,-0.0766381673896924,5.842948717948718,5.91958688533841,1.8666275212780021,-0.07663816738969231
9800,21930,312,1.8374102657532485,2.2628284883734104,0.8617245492830337,-0.0972648683520488,5.790064102564102,5.887328970916151,1.8374102657532485,-0.09726486835204895
9800,22010,312,1.7189868489754963,2.1248686837918678,0.8888304471812274,-0.04771100232550772,7.060897435897436,7.1086084382229435,1.7189868489754963,-0.0477110023255074
9800,22090,312,1.6577286854493791,2.056199678708827,0.8927362033857196,-0.013026493473742623,7.4557692307692305,7.468795724242973,1.6577286854493791,-0.01302649347374274
9800,22170,312,1.5690867248868854,1.9781917156708253,0.9049300111218386,0.0014031522686426096,8.513782051282051,8.51237889901341,1.5690867248868854,0.0014031522686419606
9800,22250,312,1.6734658982013708,2.109129366679551,0.8933989161571108,0.17696573242533192,9.707371794871795,9.530406062446463,1.6734658982013708,0.17696573242533198
9800,22330,312,1.6715877995181545,2.1093790982812,0.8930081272637926,0.16573811625249882,9.644551282051282,9.478813165798783,1.6715877995181545,0.16573811625249846
9800,22410,312,1.630888593941927,2.05266672644844,0.9011265878275728,0.22873940809797014,10.077564102564102,9.848824694466133,1.630888593941927,0.22873940809796878
9800,22490,312,1.58452537283779,2.011026107659492,0.9065118576956659,0.2631828274350996,10.327564102564102,10.064381275129003,1.58452537283779,0.2631828274350987
9800,22570,312,1.6687618062434455,2.0942202174218862,0.888277879923996,0.0009019005318316154,8.552884615384615,8.551982714852784,1.6687618062434455,0.0009019005318311457
9800,22650,312,1.7325272586638443,2.173873012734645,0.8791184458353121,-0.013819433786930088,8.347115384615385,8.360934818402315,1.7325272586638443,-0.013819433786929736
9800,22730,312,1.628875104466883,2.0611973596172923,0.8997202908331783,0.21001481162145347,9.979166666666666,9.769151855045212,1.628875104466883,0.21001481162145375
9800,22810,312,1.6722402155494842,2.1084566200890533,0.8936773219915658,0.19729637328821875,9.748076923076923,9.550780549788705,1.6722402155494842,0.1972963732882178
9800,22890,312,1.6152926603021722,2.0355854907405098,0.9013338753820158,0.26160442139714574,10.216666666666667,9.95506224526952,1.6152926603021722,0.2616044213971467
9800,22970,312,1.5832256147590202,2.0076493088240834,0.9051473121892648,0.25570434867762604,10.369551282051283,10.113846933373656,1.5832256147590202,0.2557043486776269
9800,23050,312,1.5507403035863088,1.9617854625700384,0.9119014905406082,0.3004967643568913,10.708653846153846,10.408157081796954,1.5507403035863088,0.30049676435689143
9800,23130,312,1.5492667200091557,1.9563956344095437,0.9138948260524283,0.34969463184093813,10.954166666666666,10.60447203482573,1.5492667200091557,0.3496946318409364
9800,23210,312,1.5832518684558379,2.006182574915854,0.9110437785317097,0.41760033705295657,11.404166666666669,10.98656632961371,1.5832518684558379,0.4176003370529582
9800,23290,312,1.588394402120358,2.0075647668602103,0.9108901124808483,0.44405387674386687,11.496474358974359,11.052420482230492,1.588394402120358,0.4440538767438671
9800,23370,312,1.597156328115708,2.015806723786427,0.9099907927544688,0.463692963276154,11.593910256410258,11.130217293134102,1.597156328115708,0.4636929632761557
9800,23450,312,1.5959977521346167,2.0156683435909164,0.9097765279356388,0.47177329445496585,11.648397435897435,11.17662414144247,1.5959977521346167,0.4717732944549642
9800,23530,312,1.6169437478368098,2.0419114391330084,0.907592366207356,0.4679278851701663,11.708333333333334,11.240405448163168,1.6169437478368098,0.46792788517016604
9800,23610,312,1.6045721247028082,2.029325692928026,0.9085303950153544,0.4648751476254219,11.763141025641026,11.298265878015604,1.6045721247028082,0.46487514762542226
9800,23690,312,1.581655496206039,2.014691107453197,0.9099189542707862,0.4538852627460774,11.694871794871796,11.240986532125717,1.581655496206039,0.45388526274607877
9800,23770,312,1.5836604285698672,2.019273442817077,0.9095168987198303,0.4471737280105933,11.690705128205128,11.243531400194534,1.5836604285698672,0.4471737280105934
9800,23850,312,1.5928391030583628,2.029377705649577,0.9090604075053994,0.42247739514479277,11.57275641025641,11.150279015111618,1.5928391030583628,0.4224773951447922
9800,23930,312,1.5829484035189334,2.0186522544060583,0.9104157043467429,0.3792733035408533,11.444230769230767,11.064957465689917,1.5829484035189334,0.37927330354085065
9800,24010,312,1.5863546924713332,2.0117428852413637,0.9090819842334912,0.3525195048405574,11.138141025641024,10.785621520800468,1.5863546924713332,0.35251950484055605
9800,24090,312,1.5665055359403293,1.9829380462575759,0.9115147482418002,0.30619193395743,11.173397435897435,10.867205501940006,1.5665055359403293,0.30619193395742883
9800,24170,312,1.594576976238153,2.0067508537567713,0.9097917350785792,0.2952635074273134,11.04326923076923,10.748005723341917,1.594576976238153,0.2952635074273129
9800,24250,312,1.5696628713454954,1.9892592730791006,0.9109254446976799,0.31147083586607227,11.212179487179487,10.900708651313415,1.5696628713454954,0.3114708358660714
9800,24330,312,1.5701146630522531,1.983324765727935,0.911370899350107,0.3122842167050411,11.234615384615385,10.922331167910343,1.5701146630522531,0.3122842167050415
9800,24410,312,1.5693382223065082,1.9855778935424202,0.9112344819723309,0.3000722476687187,11.19679487179487,10.896722624126154,1.5693382223065082,0.3000722476687159
9800,24490,312,1.5848880741027336,1.9970817685911726,0.9064892308915359,0.20880486750721536,10.352564102564102,10.143759235056887,1.5848880741027336,0.20880486750721516
9800,24570,312,1.562246945825143,1.974378909718177,0.9078152193971625,0.25541235924913336,10.326602564102565,10.071190204853432,1.562246945825143,0.2554123592491333
9800,24650,312,1.574669960828928,1.9797836058196498,0.90637549027331,0.21816333467379595,10.11346153846154,9.895298203787743,1.574669960828928,0.21816333467379678
9800,24730,312,1.6008333661080074,2.006016411083543,0.902832627376164,0.18783657373502277,9.997115384615382,9.809278810880361,1.6008333661080074,0.18783657373502116
9800,24810,312,1.5905628079787277,1.9894222760367344,0.9048888613297,0.21761425286531447,10.057371794871795,9.839757542006481,1.5905628079787277,0.21761425286531377
9800,24890,312,1.5773928864166522,1.984017715886433,0.9058179005042193,0.22817417244689592,10.105128205128207,9.87695403268131,1.5773928864166522,0.22817417244689686
9800,24970,312,1.598628146468829,2.00602062462547,0.9023056284945198,0.19365769435579958,9.94903846153846,9.755380767182661,1.598628146468829,0.1936576943557995
9800,25050,312,1.5928620722049323,2.0041794764093335,0.904990736847728,0.3263723101371374,10.34775641025641,10.021384100119272,1.5928620722049323,0.3263723101371383
9800,25130,312,1.6000757886622197,2.0127458323134566,0.9035329466957978,0.28974469944070547,10.14775641025641,9.858011710815704,1.6000757886622197,0.28974469944070513
