================================================================================
EXTRACTION DU PATCH SPATIAL SAFRAN 5 × 5
================================================================================
Centre : LAMBX=6440, LAMBY=22010
Coordonnées X : [6280, 6360, 6440, 6520, 6600]
Coordonnées Y : [21850, 21930, 22010, 22090, 22170]
Source : /home/lab-c0de80861d/climate_project/data/processed/safran_quot_clean.csv
Bloc 0142 | lignes lues=142,000,000 | lignes retenues=360,650 | durée=93.8s
Bloc 0143 | lignes lues=143,000,000 | lignes retenues=360,650 | durée=94.5s
Bloc 0144 | lignes lues=144,000,000 | lignes retenues=365,250 | durée=95.1s
Bloc 0145 | lignes lues=144,522,120 | lignes retenues=365,250 | durée=95.5s

================================================================================
EXTRACTION TERMINÉE
================================================================================
Lignes longues : 365,250
Nombre de dates : 14,610
Forme du tenseur : (14610, 5, 5, 5)
Valeurs non finies : 0

Patch NPZ : /home/lab-c0de80861d/climate_project/ndambo/data/processed/safran_patch_5x5_temperature_family.npz
Métadonnées : /home/lab-c0de80861d/climate_project/ndambo/data/processed/safran_patch_5x5_temperature_family_metadata.json
Série centrale : /home/lab-c0de80861d/climate_project/ndambo/data/processed/safran_center_6440_22010_daily.csv
