LAMBX,LAMBY,train_n,test_n,rmse,mae,bias,aic,bic
6680,20250,432,48,1.4002256276255807,1.0935146467688508,-0.028555242127172763,1578.1057950736833,1598.125230409216
8280,23850,432,48,1.4789676629505977,1.1664366304024678,0.20359010977750616,1655.8098995285031,1675.829334864036
1080,23610,432,48,1.315203768368599,1.0927428900969054,-0.4334886359980719,1421.4653987512384,1441.4848340867711
5640,18890,432,48,1.5285832576320952,1.252878658077143,-0.2619382440318116,1563.9559139564315,1583.9753492919642
4120,18570,432,48,1.1909173186631614,0.979740712890876,-0.1940392354187741,1491.1498197003702,1511.169255035903
5160,24090,432,48,1.4971803195428197,1.1553078270671253,-0.23843979255458414,1569.4430142609826,1589.4624495965154
7000,24250,432,48,1.4938087951427366,1.1933314513417492,-0.2756618837223827,1607.7502195393904,1627.7696548749232
2840,23770,432,48,1.4004326845522639,1.1141005885884565,-0.4678322368180153,1484.943435134946,1504.9628704704787
6200,23770,432,48,1.4156452030473539,1.1115753268620794,-0.06680379881034075,1599.1731624564227,1619.1925977919554
6040,18090,432,48,1.3739189726196592,1.132577139506877,-0.6180220588763525,1485.1251632601627,1505.1445985956955
7800,24250,432,48,1.4628645892475525,1.1643411291860168,0.0005880121337203392,1621.0388387928372,1641.05827412837
5400,21690,432,48,1.3278299500558017,1.0734401876014141,0.04491760750850513,1599.2718475708643,1619.291282906397
6840,24170,432,48,1.4892890233141602,1.1921614161369811,-0.29679808112281564,1605.3330865788546,1625.3525219143874
8920,18090,432,48,1.2442657605414424,0.9653096850064008,0.109157141760247,1389.6411190651606,1409.6605544006934
9880,19050,432,48,1.4694578958063946,1.154902814271279,-0.355651954734936,1441.3531999576405,1461.3726352931733
3080,22730,432,48,1.382255257631615,1.146061191116398,-0.39465112860246215,1538.6982521341572,1558.71768746969
1000,23850,432,48,1.1698668321211454,0.9688328777677496,-0.390328691481173,1354.320312907883,1374.3397482434157
8520,21130,432,48,1.5120469119127038,1.2182528326240936,0.1931563899439722,1648.6894231947317,1668.7088585302645
8920,20490,432,48,1.5682194479403413,1.2435300893669914,0.38915973226829426,1560.931243001286,1580.9506783368188
7160,23770,432,48,1.4743650248344955,1.175692382996045,-0.32663570904207245,1603.753483318708,1623.7729186542408
4440,24490,432,48,1.3890179810164136,1.061869139267103,-0.22102759786563153,1510.6161952817756,1530.6356306173084
