order,seasonal_order,aic,bic
"(2, 2, 0)","(0, 1, 1, 12)",1640.3348028729279,1656.350351141354
"(2, 2, 0)","(1, 1, 1, 12)",1642.1435539210938,1662.1506283108995
"(2, 1, 0)","(1, 0, 0, 12)",1656.9525879526086,1673.0849328398037
"(0, 1, 0)","(1, 1, 0, 12)",1676.1223452040508,1684.139971574936
"(1, 1, 0)","(1, 0, 0, 12)",1677.7845979911272,1689.8910422887013
"(0, 2, 1)","(1, 1, 0, 12)",1681.015629565587,1693.0346890443923
"(2, 1, 0)","(0, 1, 0, 12)",1682.2225234669002,1694.3217821322964
"(1, 2, 1)","(1, 0, 0, 12)",1682.7943861571898,1698.926731044385
"(2, 2, 1)","(0, 1, 0, 12)",1686.4719641568943,1702.5947051979392
"(2, 2, 0)","(1, 0, 1, 12)",1689.2581501977252,1709.4115764990315
"(2, 2, 1)","(1, 0, 1, 12)",1693.0464691864754,1717.230580748043
"(1, 2, 1)","(0, 1, 0, 12)",1717.7427296608912,1729.834785441675
"(1, 1, 0)","(0, 1, 0, 12)",1717.9061198262361,1725.9770826912857
"(1, 2, 0)","(0, 1, 1, 12)",1726.2025514752595,1738.214212676579
"(1, 2, 0)","(1, 1, 1, 12)",1729.0275327186127,1745.0430809870388
"(2, 2, 0)","(1, 1, 0, 12)",1745.920821596457,1761.9264811083017
"(0, 1, 0)","(1, 0, 0, 12)",1759.0322533569679,1767.1079951968122
"(0, 2, 1)","(1, 0, 0, 12)",1763.8784211756729,1775.984865473247
"(1, 1, 2)","(0, 0, 1, 12)",1765.521591074584,1785.6750173758903
"(1, 2, 0)","(1, 0, 1, 12)",1781.032625314861,1797.164970202056
"(2, 0, 1)","(0, 0, 1, 12)",1783.0581434954054,1803.235550658029
"(2, 0, 2)","(0, 0, 1, 12)",1791.836186935111,1816.0347042659039
"(1, 0, 2)","(0, 0, 1, 12)",1795.6217573972037,1815.7871885061977
"(0, 1, 2)","(0, 0, 1, 12)",1798.844460882895,1814.96720192394
"(2, 2, 2)","(0, 0, 1, 12)",1811.8251109123999,1835.994782033784
"(2, 1, 1)","(0, 0, 1, 12)",1812.5519135473783,1832.7173446563722
"(2, 1, 0)","(0, 0, 1, 12)",1815.5824728887005,1831.7243986187996
"(1, 1, 1)","(0, 0, 1, 12)",1829.4575437366216,1845.5898886238167
"(1, 0, 1)","(0, 0, 1, 12)",1829.8068724085465,1845.9487981386455
"(1, 2, 2)","(0, 0, 1, 12)",1830.8793963707346,1851.0207889718881
"(0, 1, 1)","(0, 0, 1, 12)",1831.0317271531112,1843.1309858185077
"(0, 2, 1)","(0, 0, 1, 12)",1833.1751806606858,1845.2672364414695
"(0, 1, 0)","(0, 0, 1, 12)",1833.422654180919,1841.4936170459684
"(1, 0, 0)","(0, 0, 1, 12)",1833.597101487944,1845.7107142477105
"(2, 0, 0)","(0, 0, 1, 12)",1834.599977989919,1850.7514616696074
"(1, 1, 0)","(0, 0, 1, 12)",1834.9282058724027,1847.0346501699769
"(1, 2, 0)","(1, 1, 0, 12)",1837.2024987574239,1849.2141599587435
"(2, 2, 1)","(1, 0, 0, 12)",1839.5172951566326,1859.670721457939
"(2, 2, 0)","(1, 0, 0, 12)",1842.1657725371506,1858.2885135781955
"(0, 2, 1)","(0, 1, 0, 12)",1847.348459331458,1855.4098298519805
"(0, 1, 0)","(0, 1, 0, 12)",1850.4225958301013,1854.458077262626
"(2, 0, 2)","(0, 0, 0, 12)",1874.926100502435,1895.2333850970751
