center_index,LAMBX,LAMBY,existing_cells_5x5,complete_5x5,persistence_MAE_C,persistence_RMSE_C,convlstm_MAE_C,convlstm_RMSE_C,convlstm_BIAS_C,convlstm_R2,MAE_improvement_percent,RMSE_improvement_percent
4162,5880,26330,25,True,1.6039315293388825,2.0916235851697436,1.3814144222742974,1.7890085365426438,0.0015209407082980258,0.912303269029599,13.873229810271477,14.467949719669152
4163,5880,26410,25,True,1.5953746728605964,2.0759157686585286,1.3764964270437348,1.7775393594834668,-0.012503235787842475,0.9126261105705379,13.719551246504414,14.37324257948456
4164,5880,26490,25,True,1.5938019871601454,2.0644786000444304,1.3866854799113595,1.7873038357324953,-0.05104577684711241,0.9104199309700003,12.995121659863688,13.425896703698935
4165,5880,26570,23,False,1.4381127723602096,1.8983560817987253,1.237010867589056,1.6308649911429691,-0.10783779168989127,0.9166997304302782,13.98373678589253,14.090669986544555
4166,5880,26650,18,False,1.4384828862164662,1.8986532487826304,1.242835102204809,1.6407190357009636,-0.16195868916471837,0.9157323275465838,13.600980997852188,13.585114251222434
4167,5880,26730,13,False,1.4381127723602096,1.8983560817987253,1.289234510734057,1.6862942278733226,0.014332796885501885,0.9109411478048706,10.352335678224717,11.17081542070181
4168,5960,17130,18,False,1.682701139070721,2.2027882475737677,1.4772288616226295,1.9583887067150996,0.1029045711944326,0.8849439021825409,12.210859829902086,11.095008388929747
4169,5960,17210,23,False,1.6680851106176102,2.1809791241418983,1.4223816454355414,1.8668372322867213,-0.06812774682905143,0.8992853092486469,14.729671982450398,14.403709250485171
4170,5960,17290,25,True,1.5453283502259374,2.0139614211643955,1.3320550980334145,1.7121458890080292,-0.268400220712173,0.9179811059306834,13.801160909352431,14.986162544358375
4171,5960,17370,25,True,1.5977797883181082,2.087653664441035,1.375921505231972,1.8029286497337609,-0.04866587465058644,0.907480437503543,13.885410537059915,13.638517708037014
4172,5960,17450,25,True,1.8387604112651588,2.4059304140477784,1.653788832136043,2.1511326758029403,0.005771904715115444,0.87346025022077,10.059580247425824,10.590403477886213
4173,5960,17530,25,True,1.6961609860684008,2.2160700267023894,1.5218471488282153,1.9624486135207426,-0.08382104437843062,0.894431249867717,10.276963016596351,11.444647963541419
4174,5960,17610,25,True,1.690980620123963,2.2000599017692855,1.5072502326788888,1.9383474695080916,-0.08789388963627,0.8975392968374267,10.865315974561861,11.89569575131682
4175,5960,17690,25,True,1.5487511535136376,2.023012751412768,1.4320739407323224,1.7965678257295368,-0.4393183366773748,0.9147368465000438,7.533632018068922,11.193450240246571
4176,5960,17770,25,True,1.5660962114501726,2.0471375449732236,1.3885790095298407,1.7695606288135068,-0.23423117338563423,0.9169051322762265,11.33501253770065,13.55927044771911
4177,5960,17850,25,True,1.5387604154997905,2.0042599806157497,1.4197817157530102,1.771245014776315,-0.4965971206538,0.9190436318638662,7.732113365298389,11.625985056481932
4178,5960,17930,25,True,1.49597603430029,1.9489732266096704,1.3595520640610546,1.7042550702096784,-0.4663274660913289,0.9254291146160607,9.119395438914546,12.556260550879433
4179,5960,18010,25,True,1.4669288190617593,1.9171713359854117,1.3217116716721893,1.660092403680608,-0.48241429677393344,0.9296789104628147,9.899399718825501,13.409283118280458
4180,5960,18090,25,True,1.4955134784370303,1.948398815336376,1.356246701222013,1.7005661164983354,-0.48504388299283885,0.9257763102007017,9.31230505261416,12.719813668910191
4181,5960,18170,25,True,1.5710915381107806,2.062289732553189,1.3926666146842117,1.790446456233557,-0.18272359430734808,0.9158387660225643,11.356749056208578,13.18162390223804
4182,5960,18250,25,True,1.659481913154595,2.1974103349729184,1.4891087534690102,1.9529134584214694,0.0495822670060545,0.8977331669608329,10.266647580491776,11.126591727551071
4183,5960,18330,25,True,1.8071692270001916,2.356090267907625,1.6648506637417972,2.094342956593629,-0.3250871053125768,0.8915709551480889,7.87522060093043,11.109392321646753
4184,5960,18410,25,True,1.6891767376556537,2.1911666313308875,1.4886450683706673,1.875711614306097,-0.4021063106794472,0.914594735082861,11.871562330611827,14.396669450610748
4185,5960,18490,25,True,1.6009250679686597,2.0769315057933135,1.37882490272769,1.7446136317063006,-0.2770138212533928,0.925734846533319,13.873239271765696,16.000425298574275
4186,5960,18570,25,True,1.6247456327397773,2.1032957261664555,1.4015118848604808,1.7817606738812177,-0.14788969482788877,0.921830746296718,13.739612120259203,15.287201332894805
4187,5960,18650,25,True,1.8364940082221866,2.3674587334362993,1.6261809328769117,2.058398146048251,-0.21695551179714714,0.9030597971842348,11.451879200459137,13.054529019792264
4188,5960,18730,25,True,1.82895463490023,2.356619091861664,1.599280626436387,2.028803708654124,-0.2185263189312267,0.9060783198184712,12.557665678589764,13.91041022877289
4189,5960,18810,25,True,1.8197965313173023,2.3422595018752292,1.5642204602265335,1.9873501518155918,-0.2471918923010107,0.9105849891692029,14.044211355088368,15.152435064325473
4190,5960,18890,25,True,1.8329325207508238,2.356519145628126,1.6067873366335605,2.0356251081513865,-0.22864064654192365,0.9045447807692768,12.337889232530364,13.617289639766781
4191,5960,18970,25,True,1.8770582073822162,2.418581712323764,1.6778413770818579,2.1237195266036526,-0.22383681808104677,0.8953216733115014,10.61324734187067,12.19153292269001
4192,5960,19050,25,True,1.6488898645166332,2.1255536914645954,1.3999186470815146,1.775981808471623,-0.11316308635566986,0.925741241344906,15.099323659685648,16.446156330781875
4193,5960,19130,25,True,1.6571693314544367,2.1349758478468988,1.4117410114581226,1.7891658422431669,-0.16175345917965503,0.9245145913460566,14.810093050715022,16.197373190543477
4194,5960,19210,25,True,1.7301110506719402,2.2362324151008925,1.5165189871845368,1.9339124426966692,-0.07081262145629093,0.9113571378069437,12.345569575111869,13.519166002724432
4195,5960,19290,25,True,1.7172525425292517,2.2155650078493174,1.4933717500049686,1.8995062232644524,-0.1427306220224894,0.9144986359988543,13.037150155826284,14.265380770373696
4196,5960,19370,25,True,1.6765031982196028,2.161863553784336,1.4355804768014462,1.8281326556187398,-0.15099372321207363,0.9209527972773703,14.370549467129528,15.43718601395547
4197,5960,19450,25,True,1.7187327509341033,2.2039751868142705,1.4800239654738632,1.8699632454885466,-0.20614483861543864,0.9173060243515537,13.88865053804937,15.154977393757342
