center_index,LAMBX,LAMBY,existing_cells_5x5,missing_cells_5x5,complete_5x5
337,2440,24090,18,7,False
338,2440,24170,13,12,False
339,2520,22250,11,14,False
340,2520,22330,12,13,False
341,2520,22490,15,10,False
342,2520,22570,18,7,False
343,2520,22650,21,4,False
344,2520,22730,23,2,False
345,2520,22810,25,0,True
346,2520,22890,25,0,True
347,2520,22970,25,0,True
348,2520,23050,25,0,True
349,2520,23130,25,0,True
350,2520,23210,25,0,True
351,2520,23290,25,0,True
352,2520,23370,25,0,True
353,2520,23450,25,0,True
354,2520,23530,25,0,True
355,2520,23610,25,0,True
356,2520,23690,25,0,True
357,2520,23770,25,0,True
358,2520,23850,25,0,True
359,2520,23930,25,0,True
360,2520,24010,23,2,False
361,2520,24090,18,7,False
362,2520,24170,13,12,False
363,2600,22090,14,11,False
364,2600,22170,16,9,False
365,2600,22250,16,9,False
366,2600,22410,18,7,False
367,2600,22490,19,6,False
368,2600,22570,21,4,False
369,2600,22650,23,2,False
370,2600,22730,24,1,False
371,2600,22810,25,0,True
372,2600,22890,25,0,True
373,2600,22970,25,0,True
374,2600,23050,25,0,True
375,2600,23130,25,0,True
376,2600,23210,25,0,True
377,2600,23290,25,0,True
378,2600,23370,25,0,True
379,2600,23450,25,0,True
380,2600,23530,25,0,True
381,2600,23610,25,0,True
382,2600,23690,25,0,True
383,2600,23770,25,0,True
384,2600,23850,25,0,True
385,2600,23930,25,0,True
386,2600,24010,23,2,False
387,2600,24090,18,7,False
388,2600,24170,13,12,False
389,2680,18170,10,15,False
390,2680,18250,11,14,False
391,2680,22010,15,10,False
392,2680,22090,18,7,False
393,2680,22170,20,5,False
394,2680,22250,21,4,False
395,2680,22330,22,3,False
396,2680,22410,23,2,False
397,2680,22490,23,2,False
398,2680,22570,24,1,False
399,2680,22650,25,0,True
400,2680,22730,25,0,True
401,2680,22810,25,0,True
402,2680,22890,25,0,True
403,2680,22970,25,0,True
404,2680,23050,25,0,True
405,2680,23130,25,0,True
406,2680,23210,25,0,True
407,2680,23290,25,0,True
408,2680,23370,25,0,True
409,2680,23450,25,0,True
410,2680,23530,25,0,True
411,2680,23610,25,0,True
412,2680,23690,25,0,True
413,2680,23770,25,0,True
414,2680,23850,25,0,True
415,2680,23930,25,0,True
416,2680,24010,23,2,False
417,2680,24090,18,7,False
418,2760,18090,14,11,False
419,2760,18170,15,10,False
420,2760,18250,16,9,False
421,2760,18330,14,11,False
422,2760,21850,14,11,False
423,2760,21930,17,8,False
424,2760,22010,20,5,False
425,2760,22090,22,3,False
426,2760,22170,23,2,False
427,2760,22250,24,1,False
428,2760,22330,24,1,False
429,2760,22410,24,1,False
430,2760,22490,24,1,False
431,2760,22570,25,0,True
432,2760,22650,25,0,True
433,2760,22730,25,0,True
434,2760,22810,25,0,True
435,2760,22890,25,0,True
436,2760,22970,25,0,True
437,2760,23050,25,0,True
438,2760,23130,25,0,True
439,2760,23210,25,0,True
440,2760,23290,25,0,True
441,2760,23370,25,0,True
442,2760,23450,25,0,True
443,2760,23530,25,0,True
444,2760,23610,25,0,True
445,2760,23690,25,0,True
446,2760,23770,25,0,True
447,2760,23850,25,0,True
448,2760,23930,25,0,True
449,2760,24010,23,2,False
450,2760,24090,18,7,False
451,2840,17930,11,14,False
452,2840,18090,19,6,False
453,2840,18170,20,5,False
454,2840,18250,21,4,False
455,2840,18330,19,6,False
456,2840,18410,16,9,False
457,2840,21690,11,14,False
458,2840,21770,15,10,False
459,2840,21850,19,6,False
460,2840,21930,21,4,False
461,2840,22010,23,2,False
462,2840,22090,24,1,False
463,2840,22170,25,0,True
464,2840,22250,25,0,True
465,2840,22330,25,0,True
466,2840,22410,25,0,True
467,2840,22490,25,0,True
468,2840,22570,25,0,True
469,2840,22650,25,0,True
470,2840,22730,25,0,True
471,2840,22810,25,0,True
472,2840,22890,25,0,True
473,2840,22970,25,0,True
474,2840,23050,25,0,True
475,2840,23130,25,0,True
476,2840,23210,25,0,True
477,2840,23290,25,0,True
478,2840,23370,25,0,True
479,2840,23450,25,0,True
480,2840,23530,25,0,True
481,2840,23610,25,0,True
482,2840,23690,25,0,True
483,2840,23770,25,0,True
484,2840,23850,25,0,True
485,2840,23930,25,0,True
486,2840,24010,22,3,False
487,2840,24090,17,8,False
488,2840,24170,12,13,False
489,2920,17850,10,15,False
490,2920,17930,15,10,False
491,2920,18010,20,5,False
492,2920,18090,22,3,False
493,2920,18170,23,2,False
494,2920,18250,24,1,False
495,2920,18330,22,3,False
496,2920,18410,20,5,False
497,2920,18490,17,8,False
498,2920,18570,14,11,False
499,2920,21690,16,9,False
500,2920,21770,20,5,False
501,2920,21850,23,2,False
502,2920,21930,24,1,False
503,2920,22010,25,0,True
504,2920,22090,25,0,True
505,2920,22170,25,0,True
506,2920,22250,25,0,True
507,2920,22330,25,0,True
508,2920,22410,25,0,True
509,2920,22490,25,0,True
510,2920,22570,25,0,True
511,2920,22650,25,0,True
512,2920,22730,25,0,True
513,2920,22810,25,0,True
514,2920,22890,25,0,True
515,2920,22970,25,0,True
516,2920,23050,25,0,True
517,2920,23130,25,0,True
518,2920,23210,25,0,True
519,2920,23290,25,0,True
520,2920,23370,25,0,True
521,2920,23450,25,0,True
522,2920,23530,25,0,True
523,2920,23610,25,0,True
524,2920,23690,25,0,True
525,2920,23770,25,0,True
526,2920,23850,25,0,True
527,2920,23930,25,0,True
528,2920,24010,22,3,False
529,2920,24090,17,8,False
530,2920,24170,12,13,False
531,2920,24410,1,24,False
532,2920,25130,12,13,False
533,2920,25290,9,16,False
534,2920,25370,6,19,False
535,3000,17850,13,12,False
536,3000,17930,18,7,False
537,3000,18010,23,2,False
538,3000,18090,24,1,False
539,3000,18170,24,1,False
540,3000,18250,25,0,True
541,3000,18330,24,1,False
542,3000,18410,23,2,False
543,3000,18490,21,4,False
544,3000,18570,19,6,False
545,3000,18650,17,8,False
546,3000,18730,16,9,False
547,3000,18810,14,11,False
548,3000,18890,13,12,False
549,3000,21450,9,16,False
550,3000,21610,17,8,False
551,3000,21690,20,5,False
552,3000,21770,23,2,False
553,3000,21850,25,0,True
554,3000,21930,25,0,True
555,3000,22010,25,0,True
556,3000,22090,25,0,True
557,3000,22170,25,0,True
558,3000,22250,25,0,True
559,3000,22330,25,0,True
560,3000,22410,25,0,True
561,3000,22490,25,0,True
562,3000,22570,25,0,True
563,3000,22650,25,0,True
564,3000,22730,25,0,True
565,3000,22810,25,0,True
566,3000,22890,25,0,True
567,3000,22970,25,0,True
568,3000,23050,25,0,True
569,3000,23130,25,0,True
570,3000,23210,25,0,True
571,3000,23290,25,0,True
572,3000,23370,25,0,True
573,3000,23450,25,0,True
574,3000,23530,25,0,True
575,3000,23610,25,0,True
576,3000,23690,25,0,True
577,3000,23770,25,0,True
578,3000,23850,25,0,True
579,3000,23930,25,0,True
580,3000,24010,23,2,False
581,3000,24090,19,6,False
582,3000,24970,14,11,False
583,3000,25050,15,10,False
584,3000,25130,16,9,False
585,3000,25210,14,11,False
586,3000,25290,11,14,False
587,3080,17850,16,9,False
588,3080,17930,21,4,False
589,3080,18010,25,0,True
590,3080,18090,25,0,True
591,3080,18170,25,0,True
592,3080,18250,25,0,True
593,3080,18330,25,0,True
594,3080,18410,25,0,True
595,3080,18490,24,1,False
596,3080,18570,23,2,False
597,3080,18650,22,3,False
598,3080,18730,21,4,False
599,3080,18810,19,6,False
600,3080,18890,18,7,False
601,3080,18970,17,8,False
602,3080,19050,16,9,False
603,3080,19130,14,11,False
604,3080,19210,13,12,False
605,3080,21210,9,16,False
606,3080,21370,11,14,False
607,3080,21450,13,12,False
608,3080,21530,18,7,False
609,3080,21610,20,5,False
610,3080,21690,22,3,False
611,3080,21770,24,1,False
612,3080,21850,25,0,True
613,3080,21930,25,0,True
614,3080,22010,25,0,True
615,3080,22090,25,0,True
616,3080,22170,25,0,True
617,3080,22250,25,0,True
618,3080,22330,25,0,True
619,3080,22410,25,0,True
620,3080,22490,25,0,True
621,3080,22570,25,0,True
622,3080,22650,25,0,True
623,3080,22730,25,0,True
624,3080,22810,25,0,True
625,3080,22890,25,0,True
626,3080,22970,25,0,True
627,3080,23050,25,0,True
628,3080,23130,25,0,True
629,3080,23210,25,0,True
630,3080,23290,25,0,True
631,3080,23370,25,0,True
632,3080,23450,25,0,True
633,3080,23530,25,0,True
634,3080,23610,25,0,True
635,3080,23690,25,0,True
636,3080,23770,25,0,True
637,3080,23850,25,0,True
638,3080,23930,25,0,True
639,3080,24010,23,2,False
640,3080,24090,20,5,False
641,3080,24810,14,11,False
642,3080,24890,16,9,False
643,3080,24970,19,6,False
644,3080,25050,20,5,False
645,3080,25130,21,4,False
646,3080,25210,18,7,False
647,3080,25290,14,11,False
648,3160,17850,17,8,False
649,3160,17930,22,3,False
650,3160,18010,25,0,True
651,3160,18090,25,0,True
652,3160,18170,25,0,True
653,3160,18250,25,0,True
654,3160,18330,25,0,True
655,3160,18410,25,0,True
656,3160,18490,25,0,True
657,3160,18570,25,0,True
658,3160,18650,25,0,True
659,3160,18730,25,0,True
660,3160,18810,24,1,False
661,3160,18890,23,2,False
662,3160,18970,22,3,False
663,3160,19050,21,4,False
664,3160,19130,19,6,False
665,3160,19210,18,7,False
666,3160,19290,17,8,False
667,3160,19370,16,9,False
668,3160,19450,15,10,False
669,3160,19530,15,10,False
670,3160,19610,15,10,False
671,3160,19690,15,10,False
672,3160,19770,15,10,False
673,3160,19850,14,11,False
674,3160,19930,13,12,False
675,3160,21050,13,12,False
676,3160,21130,12,13,False
677,3160,21210,14,11,False
678,3160,21370,16,9,False
679,3160,21530,22,3,False
680,3160,21610,23,2,False
681,3160,21690,24,1,False
682,3160,21770,25,0,True
683,3160,21850,25,0,True
684,3160,21930,25,0,True
685,3160,22010,25,0,True
686,3160,22090,25,0,True
687,3160,22170,25,0,True
688,3160,22250,25,0,True
689,3160,22330,25,0,True
690,3160,22410,25,0,True
691,3160,22490,25,0,True
692,3160,22570,25,0,True
693,3160,22650,25,0,True
694,3160,22730,25,0,True
695,3160,22810,25,0,True
696,3160,22890,25,0,True
697,3160,22970,25,0,True
698,3160,23050,25,0,True
699,3160,23130,25,0,True
700,3160,23210,25,0,True
701,3160,23290,25,0,True
702,3160,23370,25,0,True
703,3160,23450,25,0,True
704,3160,23530,25,0,True
705,3160,23610,25,0,True
706,3160,23690,25,0,True
707,3160,23770,25,0,True
708,3160,23850,25,0,True
709,3160,23930,25,0,True
710,3160,24010,23,2,False
711,3160,24090,21,4,False
712,3160,24170,19,6,False
713,3160,24250,17,8,False
714,3160,24330,15,10,False
715,3160,24410,15,10,False
716,3160,24490,15,10,False
717,3160,24570,15,10,False
718,3160,24650,16,9,False
719,3160,24730,17,8,False
720,3160,24810,19,6,False
721,3160,24890,21,4,False
722,3160,24970,23,2,False
723,3160,25050,24,1,False
724,3160,25130,24,1,False
725,3160,25210,19,6,False
726,3240,17770,13,12,False
727,3240,17850,18,7,False
728,3240,17930,23,2,False
