center_index,LAMBX,LAMBY,persistence_MAE_C,persistence_RMSE_C,convlstm_MAE_C,convlstm_RMSE_C,convlstm_BIAS_C,convlstm_R2,MAE_improvement_percent,RMSE_improvement_percent
2109,4360,24170,1.665818691253662,2.1469433307647705,1.429893970489502,1.8332080841064453,-0.0504000261425972,0.9031508564949036,14.162689013088686,14.61311261283121
2110,4360,24250,1.660453200340271,2.1389012336730957,1.414902687072754,1.8111610412597656,-0.06543964147567749,0.9033603668212891,14.788162244933929,15.322829649806124
2111,4360,24330,1.6631361246109009,2.142204999923706,1.4233403205871582,1.826261043548584,-0.05284133180975914,0.903337836265564,14.418290870799533,14.748539770300896
2112,4360,24410,1.5777983665466309,2.0551395416259766,1.3710442781448364,1.7820426225662231,-0.07461661100387573,0.8991653919219971,13.103961367023253,13.288485454553891
2113,4360,24490,1.5842738151550293,2.0463976860046387,1.3760732412338257,1.7722088098526,-0.09113667160272598,0.9012001156806946,13.141703910622933,13.39861152244369
2114,4360,24570,1.5818686485290527,2.040349245071411,1.3689314126968384,1.7646410465240479,-0.1031322330236435,0.9010453224182129,13.461119924857245,13.512794400926868
2115,4360,24650,1.5858001708984375,2.0499284267425537,1.3755738735198975,1.7738523483276367,-0.08694133907556534,0.9014366865158081,13.256796236781588,13.467595981076116
2116,4360,24730,1.5849677324295044,2.0506839752197266,1.3756924867630005,1.774793028831482,-0.08644411712884903,0.9013976454734802,13.203754334210837,13.453606197838624
2117,4360,24810,1.5877429246902466,2.0442073345184326,1.369507908821106,1.763866662979126,-0.11620210111141205,0.9000371694564819,13.744984309202081,13.713905962740728
2118,4360,24890,1.502035140991211,1.9581962823867798,1.3245937824249268,1.7155145406723022,-0.14495475590229034,0.9002692103385925,11.813395953518672,12.393126465273486
2119,4360,24970,1.3997224569320679,1.8440769910812378,1.2374566793441772,1.6224061250686646,-0.14384105801582336,0.9065128564834595,11.59271088238072,12.020694747815325
2120,4360,25050,1.4058741331100464,1.8582204580307007,1.2409660816192627,1.6334290504455566,-0.13221916556358337,0.906514585018158,11.729929984982185,12.097133395214732
2121,4360,25130,1.4009712934494019,1.8503681421279907,1.2388626337051392,1.6267263889312744,-0.13904698193073273,0.9066190719604492,11.571162128891793,12.08633828614884
2122,4440,17450,1.9344127178192139,2.5314085483551025,1.671988844871521,2.20880389213562,0.21991465985774994,0.8767926692962646,13.566074629799784,12.744077064490812
2123,4440,17530,1.6648473739624023,2.1682448387145996,1.4389370679855347,1.8911153078079224,0.18795929849147797,0.9022151827812195,13.569430418068428,12.781284011770918
2124,4440,17610,1.5776594877243042,2.0536794662475586,1.3797882795333862,1.7964081764221191,0.14345259964466095,0.910322368144989,12.542073224960438,12.527334184994327
2125,4440,17690,1.5608233213424683,2.0328421592712402,1.3686884641647339,1.7814987897872925,0.1339305341243744,0.9125068187713623,12.309840233068703,12.364136012116779
2126,4440,17770,1.6032840013504028,2.0891807079315186,1.4137451648712158,1.8287214040756226,0.03714298456907272,0.9076864123344421,11.821912793961866,12.467054806081123
2127,4440,17850,1.6646623611450195,2.1626014709472656,1.4883477687835693,1.9090899229049683,-0.09817081689834595,0.9010137319564819,10.591612838544277,11.722527310186925
2128,4440,17930,1.8902404308319092,2.462524890899658,1.6593546867370605,2.14300799369812,-0.1991284042596817,0.8721328973770142,12.214623088621275,12.975174317316478
2129,4440,18010,1.7207214832305908,2.2431042194366455,1.5179903507232666,1.9570183753967285,-0.17791324853897095,0.8947704434394836,11.781751694452261,12.754014796145643
2130,4440,18090,1.6449583768844604,2.1430697441101074,1.4564036130905151,1.8808013200759888,-0.15329015254974365,0.9058667421340942,11.462585706944555,12.237978943752179
2131,4440,18170,1.606521725654602,2.09482741355896,1.4218049049377441,1.83673095703125,-0.16118323802947998,0.9115591645240784,11.497934809539672,12.320654907280538
2132,4440,18250,1.5950971841812134,2.077949047088623,1.4096124172210693,1.812099814414978,-0.1754802167415619,0.9137007594108582,11.628430468037976,12.793828272455553
2133,4440,18330,1.5894079208374023,2.068817138671875,1.3997513055801392,1.8018567562103271,-0.17827533185482025,0.9147924184799194,11.932532408504663,12.90401058031302
2134,4440,18410,1.5805273056030273,2.0578532218933105,1.3909571170806885,1.7905887365341187,-0.1823582798242569,0.9159836769104004,11.994110310546713,12.987538786332752
2135,4440,18490,1.6808511018753052,2.1680784225463867,1.424540400505066,1.838364601135254,-0.15411005914211273,0.9153573513031006,15.248864166747222,15.207651991844797
2136,4440,18570,1.6772433519363403,2.1643118858337402,1.42149019241333,1.833479881286621,-0.15507306158542633,0.9159656763076782,15.248422909397666,15.285782364017996
2137,4440,18650,1.6654947996139526,2.1539885997772217,1.4121884107589722,1.8242766857147217,-0.1576000154018402,0.9171080589294434,15.209077141141162,15.307040812407307
2138,4440,18730,1.6038389205932617,2.0743765830993652,1.3708834648132324,1.7550119161605835,-0.22169867157936096,0.9193478226661682,14.52486610649521,15.395693797392031
2139,4440,18810,1.6038390398025513,2.075228214263916,1.3728116750717163,1.7581034898757935,-0.2232857346534729,0.9191014170646667,14.40464778555813,15.281438552559713
2140,4440,18890,1.6027289628982544,2.0760529041290283,1.372235655784607,1.758819341659546,-0.22397014498710632,0.9190578460693359,14.3813029182951,15.280610712691457
2141,4440,18970,1.6398241519927979,2.1219229698181152,1.3905971050262451,1.7774672508239746,-0.18647338449954987,0.919725239276886,15.198400795821877,16.233186778861548
2142,4440,19050,1.641674280166626,2.122786045074463,1.3889296054840088,1.7782515287399292,-0.1864224374294281,0.9194798469543457,15.395543302107663,16.230298721529806
2143,4440,19130,1.6318687200546265,2.106091022491455,1.3815796375274658,1.769011378288269,-0.20141291618347168,0.9196637272834778,15.337574613157747,16.004989366719247
2144,4440,19210,1.6198890209197998,2.094254493713379,1.4097684621810913,1.8007856607437134,-0.21024984121322632,0.918325662612915,12.971293466721477,14.01304539876183
2145,4440,19290,1.6420906782150269,2.1285817623138428,1.4264328479766846,1.825788974761963,-0.228515625,0.9165294170379639,13.1331255392525,14.225095456175174
2146,4440,19370,1.6476871967315674,2.1285197734832764,1.4162415266036987,1.8079774379730225,-0.200974240899086,0.9163153767585754,14.046699554804793,15.059401350342794
2147,4440,19450,1.6486587524414062,2.130117654800415,1.4169684648513794,1.8094992637634277,-0.20054927468299866,0.9161258339881897,14.053259187016701,15.051675212138843
2148,4440,19530,1.6508326530456543,2.132627248764038,1.4193364381790161,1.8126240968704224,-0.20003217458724976,0.9157878756523132,14.022997088138895,15.00511409478957
2149,4440,19610,1.638344168663025,2.1196506023406982,1.4087533950805664,1.7991306781768799,-0.20145770907402039,0.9173845052719116,14.01358627655242,15.121356501390986
