LAMBX,LAMBY,model,order,seasonal_order,exog_vars,train_start,train_end,test_start,test_end,train_n,test_n,rmse,mae,bias,aic,bic,coef_ETP,coef_SWI,seasonal_ma_L12,sigma2,ETP_mean,ETP_scale,SWI_mean,SWI_scale,elapsed_seconds
3160,19290,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.0116504837870055,0.7814524739105275,-0.25834655101947807,1381.126434733641,1397.1616874754113,2.858670212043679,0.08909450061042475,-0.9178811062958033,1.6478584109721608,64.87175750732422,37.0279541015625,0.7109398245811462,0.27381467819213867,0.129
3160,19130,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.0135279219042093,0.7738545021784414,-0.24949484537800845,1381.7093546811047,1397.744607422875,2.8817112831378315,0.09425447802120701,-0.9159212963550414,1.651197669782753,64.79074096679688,36.889915466308594,0.743884265422821,0.25050756335258484,0.154
3160,19370,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.0150568642194446,0.7823848159424619,-0.2597349898590257,1381.6051160760733,1397.6403688178436,2.8637781973890726,0.09492384339855166,-0.9177736289532519,1.6498532415979297,64.85648345947266,37.05814743041992,0.7107939720153809,0.2748170793056488,0.13
3160,19450,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.021455301983112,0.782475482057532,-0.2574265822552652,1381.5229912157124,1397.5582439574828,2.8367919340478545,0.08983964975301156,-0.9180642306674835,1.6493702693121097,64.87360382080078,37.107398986816406,0.6992477178573608,0.2825116813182831,0.13
3160,19530,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.3343622632294116,1.1355526425938394,-0.8123248119348094,1377.4110670383138,1393.4463197800842,2.9525477921429606,0.27261657544187406,-0.9199999180319576,1.6317936037048286,66.01573944091797,38.16949462890625,0.6902430653572083,0.2785913348197937,0.136
3160,19690,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.3584173239705444,1.1679039601173236,-0.8524579030000892,1374.7495889737133,1390.7848417154837,2.9210569322225486,0.29952441503448546,-0.9202734022165998,1.6210337727335993,66.17616271972656,38.287872314453125,0.6796550750732422,0.2857298254966736,0.117
3160,19770,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.3608846228630784,1.1679052657779334,-0.858014185066175,1375.912531917085,1391.9477846588554,2.900138634023894,0.278000895518527,-0.9205796017179981,1.6254945011991955,66.1187515258789,38.30098342895508,0.6805069446563721,0.2815989553928375,0.122
3160,19610,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.352028358926273,1.1566472934607874,-0.8336674999765012,1375.6787915951968,1391.7140443369672,2.9287494957919997,0.28366374548477225,-0.9199208707915496,1.6248966502059532,66.07430267333984,38.2241325378418,0.6930879950523376,0.2765999734401703,0.135
3160,19930,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.0953776903270243,0.8900561584140932,-0.1451448172042881,1364.797742181142,1380.8329949229123,2.981304625828934,0.2906958812125291,-0.9396739667736812,1.5706884324448906,64.99398040771484,38.48494338989258,0.7000138759613037,0.27108195424079895,0.122
3160,19850,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.3594654285784304,1.1663318128646145,-0.8554936466667925,1376.2920279121154,1392.3272806538857,2.8970134665473415,0.27815456783975906,-0.9201335725805123,1.6272487698200615,66.08425903320312,38.3182487487793,0.6816944479942322,0.2774146795272827,0.124
3160,21130,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.1326411800399916,0.8768291082690087,-0.1221621707436016,1389.3110432433493,1405.3462959851197,2.51975938122828,0.2717254373830893,-1.011608922664518,1.5816560536214386,64.44329071044922,38.178985595703125,0.63846755027771,0.2897091209888458,0.143
3160,21530,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.1884120425426803,0.9905347501735179,-0.4247245513334697,1397.500654497509,1413.5359072392794,2.6280879677244737,0.3601957395130542,-1.0440698346085273,1.5479267323620538,61.126853942871094,37.04154586791992,0.6229814887046814,0.29687219858169556,0.122
3160,21210,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.1422637082463498,0.8811372934573809,-0.12976548805206864,1389.3522015650415,1405.3874543068118,2.5240336119612024,0.277250750193965,-0.9967094712745178,1.606648166042905,64.40740966796875,38.18899917602539,0.6188032627105713,0.2940283417701721,0.136
3160,21370,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.1260173284552457,0.8793619387206036,-0.1847278766761327,1410.020211734816,1426.0554644765864,2.7956602641014574,0.3266948140495036,-0.9145583013551851,1.7708665543657205,64.02175903320312,38.96857833862305,0.6336319446563721,0.25780045986175537,0.137
3160,21610,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.137276242282534,0.8624608402689965,0.1026851527479391,1431.4095224052662,1447.4447751470366,2.9451046078024694,0.372675684316161,-0.9201521367702924,1.863242660962738,61.79096984863281,38.586265563964844,0.583564817905426,0.3022322952747345,0.135
3160,21690,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.1448732440169507,0.867856675979214,0.11616751136212865,1432.3966192128964,1448.4318719546668,2.9592371070888523,0.36352172474604066,-0.9175035702118336,1.8692867439124627,61.75092697143555,38.65089416503906,0.6077153086662292,0.2947562634944916,0.128
3160,21050,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.1350301504063403,0.8785993458950037,-0.1192914978597092,1389.72333275133,1405.7585854931003,2.534344460984736,0.28743650235212675,-1.0074273036545474,1.5906193311704369,64.46967315673828,38.15681457519531,0.6629212498664856,0.26436448097229004,0.192
3160,21770,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.224680384155162,0.994331136620716,-0.16707099230058123,1418.7441020110596,1434.77935475283,3.027362966498473,0.35332052075161136,-1.0510986314055788,1.6145213443388238,61.54861068725586,38.23495101928711,0.5857014060020447,0.3185257911682129,0.155
3160,21850,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.2341338711721084,1.002163707190683,-0.15935569124941365,1420.2440266735603,1436.2792794153306,3.0540594721187584,0.3501776928346034,-1.0516982233891756,1.6190700750453102,61.536808013916016,38.300315856933594,0.5886458158493042,0.3093382716178894,0.149
3160,21930,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.2309871770403569,1.0005518085000444,-0.16309557305246158,1421.1325291803896,1437.16778192216,3.0657404394197214,0.3576952435601449,-1.053093085800377,1.619315322705248,61.518978118896484,38.35789489746094,0.5745555758476257,0.28075850009918213,0.148
